City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,adamstown,-25.066,-130.1015,295.59,84,100,11.43,PN,1722447631
1,olonkinbyen,70.9221,-8.7187,278.91,99,99,2.9,SJ,1722447687
2,mugia,43.1041,-9.2179,294.35,91,43,1.83,ES,1722447688
3,kodiak,57.79,-152.4072,288.88,51,0,8.75,US,1722447689
4,greenland,43.0362,-70.8328,299.98,76,75,4.12,US,1722447690
5,port douglas,-16.4833,145.4667,292.53,87,73,4.8,AU,1722447691
6,avarua,-21.2078,-159.775,292.18,63,20,1.54,CK,1722447692
7,brookings,44.3114,-96.7984,302.8,82,75,3.6,US,1722447694
8,whitehorse,60.7161,-135.0538,284.27,82,100,0.45,CA,1722447645
9,atafu village,-8.5421,-172.5159,301.19,74,100,10.04,TK,1722447696
10,port-aux-francais,-49.35,70.2167,277.92,98,100,11.72,TF,1722447647
11,grytviken,-54.2811,-36.5092,266.95,75,100,8.02,GS,1722447654
12,kiunga,-6.1219,141.2906,295.6,99,100,1.34,PG,1722447701
13,queenstown,-31.8976,26.8753,278.37,24,0,1.74,ZA,1722447702
14,st. john's,47.5649,-52.7093,298.3,88,75,9.26,CA,1722447703
15,aykhal,66.0,111.5,278.09,79,22,2.01,RU,1722447704
16,uturoa,-16.7333,-151.4333,296.62,57,23,8.89,PF,1722447705
17,urangan,-25.3,152.9,286.92,75,12,5.86,AU,1722447708
18,ushuaia,-54.8,-68.3,277.96,65,75,4.12,AR,1722447563
19,badger,64.8,-147.5333,284.1,86,75,4.63,US,1722447711
20,ta'izz,13.5,44.0,296.54,54,72,2.25,YE,1722447712
21,iqaluit,63.7506,-68.5145,283.0,61,20,2.57,CA,1722447714
22,bilibino,68.0546,166.4372,273.34,72,100,2.82,RU,1722447661
23,hastings,50.8552,0.5729,298.14,15,33,7.32,GB,1722447716
24,albertina,-22.2008,-46.6158,299.86,29,7,2.67,BR,1722447719
25,severnoye,56.3491,78.3619,289.05,94,22,1.64,RU,1722447720
26,abu jibeha,11.4562,31.2285,294.51,90,99,3.99,SD,1722447721
27,xiabaishi,26.8153,119.6792,299.24,93,9,1.02,CN,1722447722
28,invercargill,-46.4,168.35,274.27,90,11,0.89,NZ,1722447724
29,yung shue wan,22.2333,114.1167,303.01,85,79,0.45,HK,1722447725
30,ribeira grande,38.5167,-28.7,300.37,61,20,3.13,PT,1722447726
31,baharly,38.4362,57.4316,307.28,17,0,1.43,TM,1722447727
32,jamestown,42.097,-79.2353,302.05,69,75,7.2,US,1722447512
33,nar'yan-mar,67.6713,53.087,292.18,70,66,4.44,RU,1722447730
34,veinticinco de mayo,-35.4323,-60.1727,291.47,65,92,3.13,AR,1722447585
35,xiva,41.3783,60.3639,301.14,12,0,4.12,UZ,1722447732
36,west bay,19.3667,-81.4167,306.19,62,20,6.69,KY,1722447471
37,mana,5.6592,-53.7767,303.17,65,0,5.74,GF,1722447734
38,holualoa,19.6228,-155.9522,295.3,96,75,6.17,US,1722447735
39,gaspe,48.8334,-64.4819,300.27,65,75,6.69,CA,1722447488
40,vila franca do campo,37.7167,-25.4333,299.38,74,71,1.83,PT,1722447737
41,port mathurin,-19.6833,63.4167,296.05,76,46,7.42,MU,1722447739
42,albany,42.6001,-73.9662,301.61,94,100,2.44,US,1722447257
43,chigorodo,7.6664,-76.6811,303.04,79,75,3.6,CO,1722447741
44,bethel,41.3712,-73.414,302.34,80,20,4.12,US,1722447742
45,lihue,21.9789,-159.3672,297.92,75,40,5.14,US,1722447561
46,tiksi,71.6872,128.8694,275.02,80,81,1.9,RU,1722447744
47,blackmans bay,-43.0167,147.3167,276.77,93,14,0.45,AU,1722447648
48,thompson,55.7435,-97.8558,296.24,49,20,5.14,CA,1722447746
49,touros,-5.1989,-35.4608,300.96,63,16,8.02,BR,1722447748
50,waitangi,-43.9535,-176.5597,279.72,71,100,5.99,NZ,1722447640
51,kidal,18.4411,1.4078,310.53,27,49,6.03,ML,1722447752
52,pasni,25.2631,63.471,301.71,87,86,3.12,PK,1722447754
53,puerto natales,-51.7236,-72.4875,274.4,93,75,1.03,CL,1722447635
54,wailua homesteads,22.0669,-159.378,297.59,83,40,5.14,US,1722447756
55,crane,31.3974,-102.3501,307.05,36,0,8.56,US,1722447757
56,elliot lake,46.3834,-82.6331,304.15,34,0,3.06,CA,1722447758
57,tosontsengel,48.7567,98.2839,286.68,95,89,2.02,MN,1722447759
58,blackwater,-23.5833,148.8833,283.14,49,0,3.11,AU,1722447760
59,yellowknife,62.456,-114.3525,292.27,61,75,4.12,CA,1722447644
60,raja,8.4596,25.678,295.1,94,58,2.25,SS,1722447763
61,belmonte,-15.8631,-38.8828,299.26,61,14,3.58,BR,1722447764
62,tura,25.5198,90.2201,297.92,97,74,2.5,IN,1722447765
63,charlottetown,46.2352,-63.1267,302.31,59,75,8.23,CA,1722447591
64,margaret river,-33.95,115.0667,285.71,55,99,10.71,AU,1722447767
65,hermanus,-34.4187,19.2345,280.82,73,0,1.63,ZA,1722447768
66,revda,56.801,59.9303,287.36,97,73,2.5,RU,1722447769
67,severo-yeniseyskiy,60.3725,93.0408,287.57,98,100,1.14,RU,1722447770
68,edinburgh of the seven seas,-37.0676,-12.3116,284.73,60,98,8.59,SH,1722447771
69,anadyr,64.75,177.4833,283.43,87,40,5.0,RU,1722447773
70,ambovombe,-25.1667,46.0833,290.95,66,0,2.22,MG,1722447774
71,tazovsky,67.4667,78.7,288.08,94,100,6.12,RU,1722447775
72,dunay,42.8803,132.3375,292.72,95,70,6.47,RU,1722447776
73,chancay,-11.5714,-77.2672,293.73,68,29,3.48,PE,1722447777
74,utrik,11.2278,169.8474,301.19,77,100,6.62,MH,1722447662
75,les cayes,18.2,-73.75,304.1,66,18,6.62,HT,1722447779
76,san patricio,28.017,-97.5169,306.02,48,10,8.0,US,1722447780
77,longyearbyen,78.2186,15.6401,287.06,72,20,4.63,SJ,1722447782
78,klyuchi,52.2667,79.1667,296.5,51,8,2.48,RU,1722447663
79,haiku-pauwela,20.9219,-156.3051,297.18,75,20,4.12,US,1722447785
80,mouila,-1.8685,11.0559,301.37,48,78,0.29,GA,1722447787
81,luderitz,-26.6481,15.1594,288.9,54,0,8.64,NA,1722447789
82,arraial do cabo,-22.9661,-42.0278,297.07,64,40,6.17,BR,1722447793
83,la passe,45.5549,-0.8967,305.28,77,2,5.38,FR,1722447794
84,nagqu,31.5,92.0,276.27,55,34,1.07,CN,1722447796
85,al hamra',32.4406,36.1512,299.72,51,0,3.96,JO,1722447797
86,betio village,1.358,172.9211,300.17,75,4,4.0,KI,1722447798
87,heroica matamoros,25.8833,-97.5,306.4,64,40,7.2,MX,1722447799
88,smithers,54.7804,-127.1743,288.33,82,75,1.03,CA,1722447800
89,miastko,54.0028,16.9826,291.44,71,69,2.45,PL,1722447801
90,jinghong,21.991,100.7341,295.23,100,100,0.6,CN,1722447802
91,egilsstadir,65.2653,-14.3948,286.1,76,75,4.63,IS,1722447805
92,al ghayzah,16.2079,52.176,298.96,85,95,7.56,YE,1722447807
93,labuan,5.2767,115.2417,300.35,89,20,0.0,MY,1722447808
94,zhangatas,43.5667,69.75,302.07,23,0,8.62,KZ,1722447809
95,aasiaat,68.7098,-52.8699,275.23,91,92,1.91,GL,1722447810
96,machico,32.7,-16.7667,298.5,74,40,4.63,PT,1722447811
97,san francisco de la paz,14.9,-86.2,305.99,55,100,1.48,HN,1722447813
98,skiathos,39.1623,23.4909,301.24,57,0,1.54,GR,1722447814
99,west island,-12.1568,96.8225,300.14,69,75,4.63,CC,1722447667
100,labrador city,52.9463,-66.9114,300.1,47,75,5.14,CA,1722447817
101,ilulissat,69.2167,-51.1,279.16,81,40,2.06,GL,1722447818
102,newman,37.3138,-121.0208,302.72,27,1,0.98,US,1722447819
103,ulladulla,-35.35,150.4667,275.24,73,96,5.16,AU,1722447820
104,moissala,8.3404,17.7663,296.62,94,100,1.98,TD,1722447821
105,ajdovscina,45.886,13.9095,302.52,80,0,0.34,SI,1722447823
106,iskateley,67.6803,53.1512,291.98,70,64,4.38,RU,1722447824
107,york,40.1254,-77.0,305.83,53,40,3.6,US,1722447661
108,georgetown,5.4112,100.3354,302.11,83,20,2.06,MY,1722447826
109,mount isa,-20.7333,139.5,285.02,30,0,3.09,AU,1722447827
110,donaghadee,54.6333,-5.5333,292.55,77,98,0.15,GB,1722447828
111,bredasdorp,-34.5322,20.0403,281.07,84,0,2.23,ZA,1722447656
112,suchitoto,13.9381,-89.0278,304.67,62,92,0.82,SV,1722447830
113,mosjoen,65.836,13.1908,288.44,72,75,1.54,NO,1722447832
114,isafjordur,66.0755,-23.124,290.17,48,40,6.69,IS,1722447630
115,stanley,54.868,-1.6985,295.1,72,0,3.09,GB,1722447628
116,tarauaca,-8.1614,-70.7656,310.92,18,0,0.95,BR,1722447836
